Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B173032,12/5/17,4/24/18,35000,FALSE,TRUE,1,1900 Block of 18th Avenue,94116,7,Inner Sunset,"(37.75149354876977, -122.47514241231458)"
B173036,,12/4/17,60000,FALSE,FALSE,1,200 Block of Randall Street,94131,8,Glen Park,"(37.74048196724013, -122.42924779328692)"
B173037,12/5/17,1/22/18,6458,FALSE,FALSE,1,1900 Block of Oakdale Avenue,94124,10,Bayview Hunters Point,"(37.73827072874611, -122.39691750260594)"
B173039,12/6/17,1/17/18,6500,FALSE,TRUE,1,100 Block of Maynard Street,94112,11,Excelsior,"(37.72939514948723, -122.4271509655655)"
B173041,12/8/17,3/2/18,30000,FALSE,TRUE,6,100 Block of Day Street,94131,8,Noe Valley,"(37.74302082345281, -122.42545698921835)"
B173044,12/8/17,2/26/18,10000,FALSE,FALSE,2,400 Block of Broadway Street,94133,3,North Beach,"(37.79822493438695, -122.40428249739492)"
B173048,,12/8/17,16000,FALSE,FALSE,1,5500 Block of California Street,94121,1,Outer Richmond,"(37.784191971543926, -122.47696912767651)"
B173049,12/11/17,2/6/18,7000,FALSE,TRUE,1,3400 Block of 21st Street,94110,8,Mission,"(37.75677253087283, -122.42418316650549)"
B173113,12/15/17,2/2/18,10000,FALSE,TRUE,1,1600 Block of Lyon Street,94115,2,Presidio Heights,"(37.786023494495936, -122.4450458397823)"
B173115,,12/15/17,90520.59,FALSE,TRUE,2,2200 Block of California Street,94115,2,Pacific Heights,"(37.78916563182952, -122.43136289145465)"
B173128,12/21/17,5/7/18,61424.78,FALSE,FALSE,3,1300 Block of 3rd Avenue,94122,5,Inner Sunset,"(37.7636193488249, -122.45990804596441)"
B180039,1/2/18,3/13/18,12100,FALSE,TRUE,5,900 Block of Le Conte Avenue,94124,10,Bayview Hunters Point,"(37.718063858065285, -122.39600411588796)"
B180041,,1/4/18,6286,FALSE,TRUE,1,600 Block of 15th Avenue,94118,1,Outer Richmond,"(37.775863401683395, -122.4735614652515)"
B180044,1/4/18,5/10/18,5000,FALSE,FALSE,1,700 Block of Green Street,94133,3,Chinatown,"(37.799198389216656, -122.41103088149119)"
B180045,1/4/18,2/28/18,20872.74,FALSE,FALSE,2,2200 Block of Leavenworth Street,94133,3,Russian Hill,"(37.801494790488384, -122.41776953456399)"
B180046,1/5/18,1/5/18,50000,FALSE,TRUE,3,2700 Block of 23rd Street,94110,9,Mission,"(37.754534378470325, -122.40790086855988)"
B180048,1/5/18,4/9/18,12000,FALSE,TRUE,1,600 Block of Mount Vernon Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.71923879398598, -122.45037742144991)"
B180061,1/10/18,3/13/18,26000,FALSE,FALSE,1,0 Block of Hattie Street,94114,8,Castro/Upper Market,"(37.76137797864904, -122.44094394297154)"
B180114,1/12/18,3/29/18,10000,FALSE,TRUE,1,0 Block of Bishop Street,94134,10,Visitacion Valley,"(37.71847924527194, -122.40431855442075)"
B180115,1/16/18,4/25/18,52122.8,FALSE,FALSE,2,1800 Block of 14th Avenue,94122,7,Inner Sunset,"(37.75343058868541, -122.4712508793814)"
B180116,1/16/18,5/9/18,100000,FALSE,TRUE,1,400 Block of 3rd Street,94107,6,South of Market,"(37.78149709491144, -122.39616065025051)"
B180118,1/16/18,4/3/18,23500,FALSE,FALSE,2,2000 Block of Franklin Street,94109,2,Pacific Heights,"(37.79329229301981, -122.424537680436)"
B180119,1/17/18,4/3/18,60000,FALSE,FALSE,1,1900 Block of Page Street,94117,5,Haight Ashbury,"(37.77015219103969, -122.45287998971888)"
B180122,1/18/18,3/6/18,24349,FALSE,FALSE,1,800 Block of Sanchez Street,94114,8,Noe Valley,"(37.75596229121769, -122.43000762529809)"
B180187,1/22/18,5/1/18,200000,FALSE,FALSE,2,600 Block of 14th Avenue,94118,1,Outer Richmond,"(37.775908408470585, -122.47257216711465)"
B180189,1/22/18,5/1/18,30000,FALSE,TRUE,1,600 Block of 14th Avenue,94118,1,Outer Richmond,"(37.775908408470585, -122.47257216711465)"
B180196,1/23/18,5/7/18,25000,FALSE,TRUE,1,0 Block of Raymond Avenue,94134,10,Visitacion Valley,"(37.71224713063888, -122.40422707093535)"
B180207,1/25/18,3/19/18,9995,FALSE,FALSE,2,200 Block of 19th Avenue,94121,1,Outer Richmond,"(37.78323802560138, -122.47858026249517)"
B180252,1/29/18,3/5/18,11515,FALSE,FALSE,2,800 Block of 26th Avenue,94121,1,Outer Richmond,"(37.77345091966933, -122.48539872790764)"
B180253,1/29/18,3/20/18,,TRUE,FALSE,2,1700 Block of Sacramento Street,94109,3,Nob Hill,"(37.791446621816604, -122.42170492468166)"
B180256,1/30/18,4/16/18,40000,FALSE,TRUE,3,0 Block of Cragmont Avenue,94116,7,Inner Sunset,"(37.74990932063599, -122.46737294704238)"
